Instrument,Prompt
Percussion,take out tambourine from the music
Percussion,clear tambourine from the music
Percussion,eliminate tambourine from the music
Percussion,wipe away tambourine from the music
Percussion,expunge tambourine from the music
Percussion,omit tambourine from the music
Percussion,exclude tambourine from the music
Percussion,purge tambourine from the music
Percussion,eradicate tambourine from the music
Percussion,rub out tambourine from the music
Percussion,remove triangles from the music
Percussion,erase triangles from the music
Percussion,take out triangles from the music
Percussion,clear triangles from the music
Percussion,eliminate triangles from the music
Percussion,wipe away triangles from the music
Percussion,expunge triangles from the music
Percussion,omit triangles from the music
Percussion,exclude triangles from the music
Percussion,purge triangles from the music
Percussion,eradicate triangles from the music
Percussion,rub out triangles from the music
Percussion,remove maracas from the music
Percussion,erase maracas from the music
Percussion,take out maracas from the music
Percussion,clear maracas from the music
Percussion,eliminate maracas from the music
Percussion,wipe away maracas from the music
Percussion,expunge maracas from the music
Percussion,omit maracas from the music
Percussion,exclude maracas from the music
Percussion,purge maracas from the music
Percussion,eradicate maracas from the music
Percussion,rub out maracas from the music
Percussion,remove xylophone from the music
Percussion,erase xylophone from the music
Percussion,take out xylophone from the music
Percussion,clear xylophone from the music
Percussion,eliminate xylophone from the music
Percussion,wipe away xylophone from the music
Percussion,expunge xylophone from the music
Percussion,omit xylophone from the music
Percussion,exclude xylophone from the music
Percussion,purge xylophone from the music
Percussion,eradicate xylophone from the music
Percussion,rub out xylophone from the music
Percussion,remove snare drum from the music
Percussion,erase snare drum from the music
Percussion,take out snare drum from the music
Percussion,clear snare drum from the music
Percussion,eliminate snare drum from the music
Percussion,wipe away snare drum from the music
Percussion,expunge snare drum from the music
Percussion,omit snare drum from the music
Percussion,exclude snare drum from the music
Percussion,purge snare drum from the music
Percussion,eradicate snare drum from the music
Percussion,rub out snare drum from the music
Percussion,remove bongo drums from the music
Percussion,erase bongo drums from the music
Percussion,take out bongo drums from the music
Percussion,clear bongo drums from the music
Percussion,eliminate bongo drums from the music
Percussion,wipe away bongo drums from the music
Percussion,expunge bongo drums from the music
Percussion,omit bongo drums from the music
Percussion,exclude bongo drums from the music
Percussion,purge bongo drums from the music
Percussion,eradicate bongo drums from the music
Percussion,rub out bongo drums from the music
Percussion,remove cowbell from the music
Percussion,erase cowbell from the music
Percussion,take out cowbell from the music
Percussion,clear cowbell from the music
Percussion,eliminate cowbell from the music
Percussion,wipe away cowbell from the music
Percussion,expunge cowbell from the music
Percussion,omit cowbell from the music
Percussion,exclude cowbell from the music
Percussion,purge cowbell from the music
Percussion,eradicate cowbell from the music
Percussion,rub out cowbell from the music
Piano,remove Black and white keys from the music
Piano,erase Black and white keys from the music
Piano,take out Black and white keys from the music
Piano,clear Black and white keys from the music
Piano,eliminate Black and white keys from the music
Piano,wipe away Black and white keys from the music
Piano,expunge Black and white keys from the music
Piano,omit Black and white keys from the music
Piano,exclude Black and white keys from the music
Piano,purge Black and white keys from the music
Piano,eradicate Black and white keys from the music
Piano,rub out Black and white keys from the music
Piano,remove strings inside from the music
Piano,erase strings inside from the music
Piano,take out strings inside from the music
Piano,clear strings inside from the music
Piano,eliminate strings inside from the music
Piano,wipe away strings inside from the music
Piano,expunge strings inside from the music
Piano,omit strings inside from the music
Piano,exclude strings inside from the music
Piano,purge strings inside from the music
Piano,eradicate strings inside from the music
Piano,rub out strings inside from the music
Piano,remove hammer mechanism from the music
Piano,erase hammer mechanism from the music
Piano,take out hammer mechanism from the music
Piano,clear hammer mechanism from the music
Piano,eliminate hammer mechanism from the music
Piano,wipe away hammer mechanism from the music
Piano,expunge hammer mechanism from the music
Piano,omit hammer mechanism from the music
Piano,exclude hammer mechanism from the music
Piano,purge hammer mechanism from the music
Piano,eradicate hammer mechanism from the music
Piano,rub out hammer mechanism from the music
Piano,remove pedals from the music
Piano,erase pedals from the music
Piano,take out pedals from the music
Piano,clear pedals from the music
Piano,eliminate pedals from the music
Piano,wipe away pedals from the music
Piano,expunge pedals from the music
Piano,omit pedals from the music
Piano,exclude pedals from the music
Piano,purge pedals from the music
Piano,eradicate pedals from the music
Piano,rub out pedals from the music
Piano,remove grand from the music
Piano,erase grand from the music
Piano,take out grand from the music
Piano,clear grand from the music
Piano,eliminate grand from the music
Piano,wipe away grand from the music
Piano,expunge grand from the music
Piano,omit grand from the music
Piano,exclude grand from the music
Piano,purge grand from the music
Piano,eradicate grand from the music
Piano,rub out grand from the music
Piano,remove upright from the music
Piano,erase upright from the music
Piano,take out upright from the music
Piano,clear upright from the music
Piano,eliminate upright from the music
Piano,wipe away upright from the music
Piano,expunge upright from the music
Piano,omit upright from the music
Piano,exclude upright from the music
Piano,purge upright from the music
Piano,eradicate upright from the music
Piano,rub out upright from the music
Shaker,remove Percussive from the music
Shaker,erase Percussive from the music
Shaker,take out Percussive from the music
Shaker,clear Percussive from the music
Shaker,eliminate Percussive from the music
Shaker,wipe away Percussive from the music
Shaker,expunge Percussive from the music
Shaker,omit Percussive from the music
Shaker,exclude Percussive from the music
Shaker,purge Percussive from the music
Shaker,eradicate Percussive from the music
Shaker,rub out Percussive from the music
Shaker,remove Handheld from the music
Shaker,erase Handheld from the music
Shaker,take out Handheld from the music
Shaker,clear Handheld from the music
Shaker,eliminate Handheld from the music
Shaker,wipe away Handheld from the music
Shaker,expunge Handheld from the music
Shaker,omit Handheld from the music
Shaker,exclude Handheld from the music
Shaker,purge Handheld from the music
Shaker,eradicate Handheld from the music
Shaker,rub out Handheld from the music
Shaker,remove Maraca-like from the music
Shaker,erase Maraca-like from the music
Shaker,take out Maraca-like from the music
Shaker,clear Maraca-like from the music
Shaker,eliminate Maraca-like from the music
Shaker,wipe away Maraca-like from the music
Shaker,expunge Maraca-like from the music
Shaker,omit Maraca-like from the music
Shaker,exclude Maraca-like from the music
Shaker,purge Maraca-like from the music
Shaker,eradicate Maraca-like from the music
Shaker,rub out Maraca-like from the music
Shaker,remove Rattling from the music
Shaker,erase Rattling from the music
Shaker,take out Rattling from the music
Shaker,clear Rattling from the music
Shaker,eliminate Rattling from the music
Shaker,wipe away Rattling from the music
Shaker,expunge Rattling from the music
Shaker,omit Rattling from the music
Shaker,exclude Rattling from the music
Shaker,purge Rattling from the music
Shaker,eradicate Rattling from the music
Shaker,rub out Rattling from the music
Shaker,remove Shake from the music
Shaker,erase Shake from the music
Shaker,take out Shake from the music
Shaker,clear Shake from the music
Shaker,eliminate Shake from the music
Shaker,wipe away Shake from the music
Shaker,expunge Shake from the music
Shaker,omit Shake from the music
Shaker,exclude Shake from the music
Shaker,purge Shake from the music
Shaker,eradicate Shake from the music
Shaker,rub out Shake from the music
Shaker,remove Small from the music
Shaker,erase Small from the music
Shaker,take out Small from the music
Shaker,clear Small from the music
Shaker,eliminate Small from the music
Shaker,wipe away Small from the music
Shaker,expunge Small from the music
Shaker,omit Small from the music
Shaker,exclude Small from the music
Shaker,purge Small from the music
Shaker,eradicate Small from the music
Shaker,rub out Small from the music
Shaker,remove Groovy from the music
Shaker,erase Groovy from the music
Shaker,take out Groovy from the music
Shaker,clear Groovy from the music
Shaker,eliminate Groovy from the music
Shaker,wipe away Groovy from the music
Shaker,expunge Groovy from the music
Shaker,omit Groovy from the music
Shaker,exclude Groovy from the music
Shaker,purge Groovy from the music
Shaker,eradicate Groovy from the music
Shaker,rub out Groovy from the music
Shaker,remove Latin from the music
Shaker,erase Latin from the music
Shaker,take out Latin from the music
Shaker,clear Latin from the music
Shaker,eliminate Latin from the music
Shaker,wipe away Latin from the music
Shaker,expunge Latin from the music
Shaker,omit Latin from the music
Shaker,exclude Latin from the music
Shaker,purge Latin from the music
Shaker,eradicate Latin from the music
Shaker,rub out Latin from the music
Shaker,remove Colorful from the music
Shaker,erase Colorful from the music
Shaker,take out Colorful from the music
Shaker,clear Colorful from the music
Shaker,eliminate Colorful from the music
Shaker,wipe away Colorful from the music
Shaker,expunge Colorful from the music
Shaker,omit Colorful from the music
Shaker,exclude Colorful from the music
Shaker,purge Colorful from the music
Shaker,eradicate Colorful from the music
Shaker,rub out Colorful from the music
Strings,remove Vibrating from the music
Strings,erase Vibrating from the music
Strings,take out Vibrating from the music
Strings,clear Vibrating from the music
Strings,eliminate Vibrating from the music
Strings,wipe away Vibrating from the music
Strings,expunge Vibrating from the music
Strings,omit Vibrating from the music
Strings,exclude Vibrating from the music
Strings,purge Vibrating from the music
Strings,eradicate Vibrating from the music
Strings,rub out Vibrating from the music
Strings,remove Taut from the music
Strings,erase Taut from the music
Strings,take out Taut from the music
Strings,clear Taut from the music
Strings,eliminate Taut from the music
Strings,wipe away Taut from the music
Strings,expunge Taut from the music
Strings,omit Taut from the music
Strings,exclude Taut from the music
Strings,purge Taut from the music
Strings,eradicate Taut from the music
Strings,rub out Taut from the music
Strings,remove Resonant from the music
Strings,erase Resonant from the music
Strings,take out Resonant from the music
Strings,clear Resonant from the music
Strings,eliminate Resonant from the music
Strings,wipe away Resonant from the music
Strings,expunge Resonant from the music
Strings,omit Resonant from the music
Strings,exclude Resonant from the music
Strings,purge Resonant from the music
Strings,eradicate Resonant from the music
Strings,rub out Resonant from the music
Strings,remove Plucked from the music
Strings,erase Plucked from the music
Strings,take out Plucked from the music
Strings,clear Plucked from the music
Strings,eliminate Plucked from the music
Strings,wipe away Plucked from the music
Strings,expunge Plucked from the music
Strings,omit Plucked from the music
Strings,exclude Plucked from the music
Strings,purge Plucked from the music
Strings,eradicate Plucked from the music
Strings,rub out Plucked from the music
Strings,remove Bow from the music
Strings,erase Bow from the music
Strings,take out Bow from the music
Strings,clear Bow from the music
Strings,eliminate Bow from the music
Strings,wipe away Bow from the music
Strings,expunge Bow from the music
Strings,omit Bow from the music
Strings,exclude Bow from the music
Strings,purge Bow from the music
Strings,eradicate Bow from the music
Strings,rub out Bow from the music
Strings,remove Melodic from the music
Strings,erase Melodic from the music
Strings,take out Melodic from the music
Strings,clear Melodic from the music
Strings,eliminate Melodic from the music
Strings,wipe away Melodic from the music
Strings,expunge Melodic from the music
Strings,omit Melodic from the music
Strings,exclude Melodic from the music
Strings,purge Melodic from the music
Strings,eradicate Melodic from the music
Strings,rub out Melodic from the music
Synthesizer,remove Electric from the music
Synthesizer,erase Electric from the music
Synthesizer,take out Electric from the music
Synthesizer,clear Electric from the music
Synthesizer,eliminate Electric from the music
Synthesizer,wipe away Electric from the music
Synthesizer,expunge Electric from the music
Synthesizer,omit Electric from the music
Synthesizer,exclude Electric from the music
Synthesizer,purge Electric from the music
Synthesizer,eradicate Electric from the music
Synthesizer,rub out Electric from the music
Synthesizer,remove Keyboard from the music
Synthesizer,erase Keyboard from the music
Synthesizer,take out Keyboard from the music
Synthesizer,clear Keyboard from the music
Synthesizer,eliminate Keyboard from the music
Synthesizer,wipe away Keyboard from the music
Synthesizer,expunge Keyboard from the music
Synthesizer,omit Keyboard from the music
Synthesizer,exclude Keyboard from the music
Synthesizer,purge Keyboard from the music
Synthesizer,eradicate Keyboard from the music
Synthesizer,rub out Keyboard from the music
Synthesizer,remove Digital from the music
Synthesizer,erase Digital from the music
Synthesizer,take out Digital from the music
Synthesizer,clear Digital from the music
Synthesizer,eliminate Digital from the music
Synthesizer,wipe away Digital from the music
Synthesizer,expunge Digital from the music
Synthesizer,omit Digital from the music
Synthesizer,exclude Digital from the music
Synthesizer,purge Digital from the music
Synthesizer,eradicate Digital from the music
Synthesizer,rub out Digital from the music
Synthesizer,remove Sound effects from the music
Synthesizer,erase Sound effects from the music
Synthesizer,take out Sound effects from the music
Synthesizer,clear Sound effects from the music
Synthesizer,eliminate Sound effects from the music
Synthesizer,wipe away Sound effects from the music
Synthesizer,expunge Sound effects from the music
Synthesizer,omit Sound effects from the music
Synthesizer,exclude Sound effects from the music
Synthesizer,purge Sound effects from the music
Synthesizer,eradicate Sound effects from the music
Synthesizer,rub out Sound effects from the music
Synthesizer,remove Modulation from the music
Synthesizer,erase Modulation from the music
Synthesizer,take out Modulation from the music
Synthesizer,clear Modulation from the music
Synthesizer,eliminate Modulation from the music
Synthesizer,wipe away Modulation from the music
Synthesizer,expunge Modulation from the music
Synthesizer,omit Modulation from the music
Synthesizer,exclude Modulation from the music
Synthesizer,purge Modulation from the music
Synthesizer,eradicate Modulation from the music
Synthesizer,rub out Modulation from the music
Synthesizer,remove Electronic from the music
Synthesizer,erase Electronic from the music
Synthesizer,take out Electronic from the music
Synthesizer,clear Electronic from the music
Synthesizer,eliminate Electronic from the music
Synthesizer,wipe away Electronic from the music
Synthesizer,expunge Electronic from the music
Synthesizer,omit Electronic from the music
Synthesizer,exclude Electronic from the music
Synthesizer,purge Electronic from the music
Synthesizer,eradicate Electronic from the music
Synthesizer,rub out Electronic from the music
Synthesizer,remove Synthesized from the music
Synthesizer,erase Synthesized from the music
Synthesizer,take out Synthesized from the music
Synthesizer,clear Synthesized from the music
Synthesizer,eliminate Synthesized from the music
Synthesizer,wipe away Synthesized from the music
Synthesizer,expunge Synthesized from the music
Synthesizer,omit Synthesized from the music
Synthesizer,exclude Synthesized from the music
Synthesizer,purge Synthesized from the music
Synthesizer,eradicate Synthesized from the music
Synthesizer,rub out Synthesized from the music
Synthesizer,remove Control panel. from the music
Synthesizer,erase Control panel. from the music
Synthesizer,take out Control panel. from the music
Synthesizer,clear Control panel. from the music
Synthesizer,eliminate Control panel. from the music
Synthesizer,wipe away Control panel. from the music
Synthesizer,expunge Control panel. from the music
Synthesizer,omit Control panel. from the music
Synthesizer,exclude Control panel. from the music
Synthesizer,purge Control panel. from the music
Synthesizer,eradicate Control panel. from the music
Synthesizer,rub out Control panel. from the music
Vocal,remove Breath-powered from the music
Vocal,erase Breath-powered from the music
Vocal,take out Breath-powered from the music
Vocal,clear Breath-powered from the music
Vocal,eliminate Breath-powered from the music
Vocal,wipe away Breath-powered from the music
Vocal,expunge Breath-powered from the music
Vocal,omit Breath-powered from the music
Vocal,exclude Breath-powered from the music
Vocal,purge Breath-powered from the music
Vocal,eradicate Breath-powered from the music
Vocal,rub out Breath-powered from the music
Vocal,remove versatile from the music
Vocal,erase versatile from the music
Vocal,take out versatile from the music
Vocal,clear versatile from the music
Vocal,eliminate versatile from the music
Vocal,wipe away versatile from the music
Vocal,expunge versatile from the music
Vocal,omit versatile from the music
Vocal,exclude versatile from the music
Vocal,purge versatile from the music
Vocal,eradicate versatile from the music
Vocal,rub out versatile from the music
Vocal,remove expressive from the music
Vocal,erase expressive from the music
Vocal,take out expressive from the music
Vocal,clear expressive from the music
Vocal,eliminate expressive from the music
Vocal,wipe away expressive from the music
Vocal,expunge expressive from the music
Vocal,omit expressive from the music
Vocal,exclude expressive from the music
Vocal,purge expressive from the music
Vocal,eradicate expressive from the music
Vocal,rub out expressive from the music
Vocal,remove lyrical from the music
Vocal,erase lyrical from the music
Vocal,take out lyrical from the music
Vocal,clear lyrical from the music
Vocal,eliminate lyrical from the music
Vocal,wipe away lyrical from the music
Vocal,expunge lyrical from the music
Vocal,omit lyrical from the music
Vocal,exclude lyrical from the music
Vocal,purge lyrical from the music
Vocal,eradicate lyrical from the music
Vocal,rub out lyrical from the music
Whistle,remove Piercing from the music
Whistle,erase Piercing from the music
Whistle,take out Piercing from the music
Whistle,clear Piercing from the music
Whistle,eliminate Piercing from the music
Whistle,wipe away Piercing from the music
Whistle,expunge Piercing from the music
Whistle,omit Piercing from the music
Whistle,exclude Piercing from the music
Whistle,purge Piercing from the music
Whistle,eradicate Piercing from the music
Whistle,rub out Piercing from the music
Whistle,remove Wind from the music
Whistle,erase Wind from the music
Whistle,take out Wind from the music
Whistle,clear Wind from the music
Whistle,eliminate Wind from the music
Whistle,wipe away Wind from the music
Whistle,expunge Wind from the music
Whistle,omit Wind from the music
Whistle,exclude Wind from the music
Whistle,purge Wind from the music
Whistle,eradicate Wind from the music
Whistle,rub out Wind from the music
Whistle,remove Simple from the music
Whistle,erase Simple from the music
Whistle,take out Simple from the music
Whistle,clear Simple from the music
Whistle,eliminate Simple from the music
Whistle,wipe away Simple from the music
Whistle,expunge Simple from the music
Whistle,omit Simple from the music
Whistle,exclude Simple from the music
Whistle,purge Simple from the music
Whistle,eradicate Simple from the music
Whistle,rub out Simple from the music
Whistle,remove Melodic from the music
Whistle,erase Melodic from the music
Whistle,take out Melodic from the music
Whistle,clear Melodic from the music
Whistle,eliminate Melodic from the music
Whistle,wipe away Melodic from the music
Whistle,expunge Melodic from the music
Whistle,omit Melodic from the music
Whistle,exclude Melodic from the music
Whistle,purge Melodic from the music
Whistle,eradicate Melodic from the music
Whistle,rub out Melodic from the music
Whistle,remove Wooden from the music
Whistle,erase Wooden from the music
Whistle,take out Wooden from the music
Whistle,clear Wooden from the music
Whistle,eliminate Wooden from the music
Whistle,wipe away Wooden from the music
Whistle,expunge Wooden from the music
Whistle,omit Wooden from the music
Whistle,exclude Wooden from the music
Whistle,purge Wooden from the music
Whistle,eradicate Wooden from the music
Whistle,rub out Wooden from the music
